,tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth,delta_tmd,inclination_prev,azimuth_prev,calc_azi,calc_inc
91,1716.59,19.38,-4.8236300000000005,-2.31316,18.625828,0.2839650692994774,3.624874323467023,19.37999999999988,0.27576202181510406,3.5515704948832614,1.5182783046649098,2.8576259432597286
92,1735.79,19.2,-5.00855,-2.9402,18.293064,0.33143802495372315,3.7133625165431354,19.200000000000045,0.2839650692994774,3.624874323467023,1.073455928035118,2.8101568519306426
93,1754.98,19.19,-5.7616,-3.9239,17.861269,0.4129449010218584,3.760660939272182,19.190000000000055,0.33143802495372315,3.7133625165431354,1.1108263740316728,2.7286453198863976
94,1774.04,19.06,-6.08974,-5.1777,17.285675,0.4558800006209189,3.9241982901840506,19.059999999999945,0.4129449010218584,3.760660939272182,6.239700275543206,2.685714697279639
95,1793.27,19.23,-5.40813,-6.63737,17.195510000000002,0.47228609558966556,4.129798076068982,19.230000000000018,0.4558800006209189,3.9241982901840506,0.6024204859021898,2.6693044307970837
96,1812.42,19.15,-3.9550400000000003,-7.48118,17.156816,0.44802601898694444,4.327194814469541,19.15000000000009,0.47228609558966556,4.129798076068982,4.948031411914595,2.6935691750183612
97,1831.5,19.08,-2.54964,-7.91286,17.162691,0.4562290664713178,4.4729298070110675,19.079999999999927,0.44802601898694444,4.327194814469541,4.627426900389814,2.68536168378633
98,1850.75,19.25,-1.49254,-8.378860000000001,17.258045000000003,0.46163958715250014,4.59859351315466,19.25,0.4562290664713178,4.4729298070110675,4.577319303130917,0.4616379355629894
99,1869.97,19.22,-0.44627,-8.55255,17.198382000000002,0.46390851518009274,4.721639225420259,19.220000000000027,0.46163958715250014,4.59859351315466,4.574539929665914,2.677682871247231
100,1889.16,19.19,0.7041270000000001,-8.47385,17.191581,0.45692719817211547,4.869992211839778,19.190000000000055,0.46390851518009274,4.721639225420259,0.5645668307856917,0.4569266356404587
101,1908.33,19.17,1.8954790000000001,-8.087819999999999,17.265183,0.44209189953016365,5.017472533633299,19.169999999999845,0.45692719817211547,4.869992211839778,1.63943022638159,0.4420923988228016
102,1927.46,19.13,2.940777,-7.49327,17.344335,0.4288273972150068,5.157273406718044,19.13000000000011,0.44209189953016365,5.017472533633299,3.1351653809123734,0.4288272776577753
103,1946.69,19.23,3.5188370000000004,-6.9126,17.593086,0.4019493267342941,5.21085501475427,19.230000000000018,0.4288273972150068,5.157273406718044,1.6353813534203152,0.4019490087702293
104,1966.05,19.36,3.643641,-6.5505,17.849718,0.39322268047432246,5.22935550482541,19.3599999999999,0.4019493267342941,5.21085501475427,1.6935438706897612,0.3932227523486934
105,1985.17,19.12,3.878937,-6.4463099999999995,17.575364999999998,0.4159119607502487,5.277526592180454,19.12000000000012,0.39322268047432246,5.22935550482541,0.17676133507946654,0.41591163881234633
106,2004.39,19.22,4.510549,-6.452030000000001,17.529885999999998,0.42900193014020616,5.366189318181766,19.220000000000027,0.4159119607502487,5.277526592180454,5.070451904269218,0.4290023817567363
107,2023.67,19.28,4.91803,-5.93155,17.667475,0.39409534510031957,5.446299930848306,19.279999999999973,0.42900193014020616,5.366189318181766,5.322087231140266,0.39409481283421793
108,2042.73,19.06,4.732544,-5.297969999999999,17.685118,0.36983526849759846,5.436351554111938,19.059999999999945,0.39409534510031957,5.446299930848306,5.290877233375772,0.36983552742399306
109,2061.85,19.12,4.511963,-5.21401,17.833254999999998,0.3680899392456041,5.4150585372376066,19.11999999999989,0.36983526849759846,5.436351554111938,5.223938946297565,0.36808946238306267
110,2081.0,19.15,4.431639,-5.2441,17.87685,0.36529741244241315,5.4129641421352135,19.15000000000009,0.3680899392456041,5.4150585372376066,5.217399356707811,0.3652981332979416
111,2100.14,19.14,4.531331,-5.45303,17.776235,0.3937462792499207,5.399001508119259,19.139999999999873,0.36529741244241315,5.4129641421352135,5.173497340658651,0.3937455774196908
112,2119.51,19.37,4.669868,-5.86174,17.860957,0.4009021291830975,5.371425305937748,19.370000000000346,0.3937462792499207,5.399001508119259,5.086899192060755,0.4009029512955394
113,2138.72,19.21,4.4956190000000005,-6.03219,17.675007,0.40404372183668724,5.334424325795468,19.20999999999958,0.4009021291830975,5.371425305937748,4.97062567786749,0.40404259009965077
114,2158.01,19.29,4.616701,-6.39366,17.601155,0.4384267081009756,5.340882044027848,19.29000000000042,0.40404372183668724,5.334424325795468,0.3758317911213143,0.4384277814026223
115,2177.16,19.15,4.722119,-6.31665,17.448253,0.4106759729942658,5.3686327791345585,19.149999999999636,0.4384267081009756,5.340882044027848,5.078092685350205,0.41067532538103624
116,2185.04,7.88,1.886693,-2.43783,7.251689,0.39322268047432246,5.373519701040141,7.880000000000109,0.4106759729942658,5.3686327791345585,5.0934781941997445,0.39322351095988867
117,2194.69,9.65,2.3634180000000002,-2.98197,8.867344000000001,0.41748275707704363,5.391147526485284,9.650000000000091,0.39322268047432246,5.373519701040141,0.4781000581672748,0.4174820324364136
118,2204.28,9.59,2.630618,-3.0732,8.69252,0.4539601384437251,5.447347128399502,9.590000000000146,0.41748275707704363,5.391147526485284,5.325411079808155,0.4539612583225737
119,2213.83,9.55,2.9402169999999996,-3.11548,8.534141,0.4766494187196514,5.489409563372565,9.549999999999727,0.4539601384437251,5.447347128399502,0.8424167589680532,0.476648451450723
120,2223.48,9.65,3.234844,-3.15302,8.526278,0.4979424355939822,5.53094839957003,9.650000000000091,0.4766494187196514,5.489409563372565,5.5880484089051485,0.497944271199243
121,2233.11,9.63,3.399745,-3.26569,8.396005,0.5253441048502933,5.505466592490913,9.63000000000011,0.4979424355939822,5.53094839957003,0.003212164804646726,0.5253425044543121
122,2242.87,9.76,3.464118,-3.5933,8.385491,0.5487315168270173,5.454502978332679,9.759999999999764,0.5253441048502933,5.505466592490913,5.40350750613526,0.5487324439429287
123,2252.36,9.49,3.350921,-3.8723400000000003,7.985856,0.5920156822764766,5.398826975194059,9.490000000000236,0.5487315168270173,5.454502978332679,5.172957607954564,0.5920140714118164
124,2261.99,9.63,3.4893160000000005,-4.3888300000000005,7.8237380000000005,0.6517059426946827,5.370552641311751,9.629999999999654,0.5920156822764766,5.398826975194059,5.084150713791361,0.6517072891589
125,2271.63,9.64,3.6707019999999995,-4.8283,7.487447,0.7099999397112933,5.354844678043802,9.640000000000327,0.6517059426946827,5.370552641311751,3.0330180527523956,0.709998150679706
126,2281.23,9.6,3.9745120000000003,-5.05051,7.125967999999999,0.7579964941411373,5.402143100772848,9.599999999999909,0.7099999397112933,5.354844678043802,3.737778832096895,0.7579980472691011
127,2290.7,9.47,4.273916000000001,-5.14801,6.696787,0.8119271680277622,5.408251753154829,9.4699999999998,0.7579964941411373,5.402143100772848,5.2025660821611375,0.8119262311173749
128,2300.29,9.59,4.524380000000001,-5.45715,6.455972,0.852244273748831,5.401095903221652,9.590000000000146,0.8119271680277622,5.408251753154829,5.180104857789735,0.8522450137303301
129,2309.89,9.6,4.674975,-5.66186,6.181858,0.8897688526667091,5.404062962950042,9.599999999999909,0.852244273748831,5.401095903221652,0.5742980912278209,0.8897674516589356
130,2319.5,9.61,4.870603,-5.80345,5.9088650000000005,0.9271188986593878,5.416978399414801,9.610000000000127,0.8897688526667091,5.404062962950042,0.6148899125553788,0.9271202991380482
131,2329.09,9.59,5.047983,-5.95478,5.565247,0.9758135847900296,5.414185872611609,9.590000000000146,0.9271188986593878,5.416978399414801,5.221208733431768,0.975813058958606
132,2338.67,9.58,5.198238,-6.17686,5.151084,1.0299187916018537,5.409822549481624,9.579999999999927,0.9758135847900296,5.414185872611609,5.207519963721618,1.0299194934826965
133,2348.29,9.62,5.374128,-6.41372,4.739959,1.0808824057600883,5.409822549481624,9.61999999999989,1.0299187916018537,5.409822549481624,5.2075039208831,1.0808801229369562
134,2357.77,9.48,5.469833,-6.4847,4.222364,1.1370820076743058,5.4162802677140025,9.480000000000018,1.0808824057600883,5.409822549481624,5.060957766841357,1.137086246716716
135,2367.4,9.63,5.740367,-6.73625,3.785051,1.1962486693169136,5.419945459143191,9.63000000000011,1.1370820076743058,5.4162802677140025,5.2393080808087085,1.196243362200402
136,2376.89,9.49,5.821853,-6.74414,3.260412,1.2437216249711593,5.429021171253561,9.489999999999782,1.1962486693169136,5.419945459143191,4.211333151529209,1.243725810714803
137,2386.51,9.62,5.997403,-6.97222,2.8056490000000003,1.305680813416958,5.416629333564402,9.620000000000346,1.2437216249711593,5.429021171253561,2.4486994166794642,1.3056755690184148
138,2396.09,9.58,6.030704,-7.10492,2.1961209999999998,1.3730505225439391,5.415756668938405,9.579999999999927,1.305680813416958,5.416629333564402,5.059316575084312,1.373053975614602
139,2404.51,8.42,5.357136,-6.311319999999999,1.532813,1.4023720539774438,5.416629333564402,8.420000000000073,1.3730505225439391,5.415756668938405,5.228885354760555,1.4023708552831435
140,2414.11,9.6,6.124473,-7.2397,1.490897,1.4273302622809627,5.412440543359615,9.599999999999909,1.4023720539774438,5.416629333564402,5.215746227418117,1.4273273624716758
141,2423.75,9.64,6.1558910000000004,-7.30388,1.296581,1.4444344889505072,5.4129641421352135,9.639999999999873,1.4273302622809627,5.412440543359615,5.217369787902357,1.4444362771036936
142,2433.24,9.49,6.109604,-7.17615,1.107156,1.4632840448720459,5.422388920095983,9.489999999999782,1.4444344889505072,5.4129641421352135,5.246998243770935,1.4632881080078532
143,2442.82,9.58,6.21658,-7.24023,0.814759,1.5079644737231008,5.421341722544787,9.580000000000382,1.4632840448720459,5.422388920095983,5.243688699940284,1.5079664630321998
144,2452.41,9.59,6.2252730000000005,-7.281160000000001,0.393969,1.5514231720977596,5.418200129891197,9.58999999999969,1.5079644737231008,5.421341722544787,0.6187285930205783,1.5514556593954074
145,2471.51,19.1,12.43295,-14.4955,0.044997,1.5854570925116491,5.424483315198376,19.100000000000364,1.5514231720977596,5.418200129891197,5.142335210883275,1.5559103918605088
146,2490.75,19.24,12.55818,-14.5745,-0.224981,1.5795229730548683,5.422737985946382,19.23999999999978,1.5854570925116491,5.424483315198376,5.136856016175501,1.5626204940591006
147,2509.91,19.16,12.45562,-14.5579,-0.1672,1.5795229730548683,5.4175019981903985,19.159999999999854,1.5795229730548683,5.422737985946382,5.231638652673652,1.561490936418759
148,2529.1,19.19,12.40513,-14.6406,-0.14066900000000002,1.5767304462516774,5.413138675060413,19.190000000000055,1.5795229730548683,5.4175019981903985,5.217920909563296,1.566145459338674
149,2548.21,19.11,12.300139999999999,-14.625,-0.073377,1.5725416560468908,5.410171615332023,19.110000000000127,1.5767304462516774,5.413138675060413,5.987039640561817,1.566557554004377
150,2567.38,19.17,12.26641,-14.7304,0.11208,1.5573572915545404,5.403364831249244,19.170000000000073,1.5725416560468908,5.410171615332023,5.187221662703761,1.5576324220666553
151,2586.65,19.27,12.25636,-14.8655,0.34975500000000004,1.547932513593771,5.400397771520855,19.269999999999982,1.5573572915545404,5.403364831249244,5.177904832960272,1.547766133854097
152,2605.87,19.22,12.24957,-14.8072,0.264988,1.566083937814512,5.406680956828033,19.2199999999998,1.547932513593771,5.400397771520855,5.197632885900899,1.5677912203429074
153,2625.1,19.23,12.29086,-14.786,0.26512600000000003,1.547932513593771,5.4051101605012395,19.230000000000018,1.566083937814512,5.406680956828033,5.192719179216945,1.5475426016295342
154,2644.31,19.21,12.24972,-14.7942,0.25311500000000003,1.567305668290908,5.402841232473647,19.210000000000036,1.547932513593771,5.4051101605012395,0.820728907112873,1.5707936383995467
155,2663.39,19.08,12.24864,-14.6284,0.094907,1.5643386085625175,5.416105734788803,19.079999999999927,1.567305668290908,5.402841232473647,5.227267573111179,1.5629873578595879
156,2682.7,19.31,12.446439999999999,-14.7571,0.36225100000000005,1.5397294661093974,5.409997082406824,19.309999999999945,1.5643386085625175,5.416105734788803,5.208033774126561,1.5401233531259575
157,2701.97,19.27,12.30198,-14.8257,0.33964,1.5666075365901102,5.400048705670455,19.269999999999982,1.5397294661093974,5.409997082406824,5.176838059975029,1.5638285096059212
158,2721.27,19.3,12.27448,-14.8928,-0.077472,1.583013631558857,5.403364831249244,19.300000000000182,1.5666075365901102,5.400048705670455,5.187187086249138,1.560027840952175
159,2740.37,19.1,12.16747,-14.721,-0.23334499999999997,1.583013631558857,5.402841232473647,19.09999999999991,1.583013631558857,5.403364831249244,5.185618226060752,1.5572117598875208
160,2759.58,19.21,12.18942,-14.8449,-0.258156,1.5854570925116491,5.396907113016867,19.210000000000036,1.583013631558857,5.402841232473647,5.166900887310785,1.557268900614073
161,2778.74,19.16,12.12434,-14.8342,-0.224045,1.5795229730548683,5.398303376418461,19.159999999999854,1.5854570925116491,5.396907113016867,5.1713499054287295,1.5606975010421607
162,2797.95,19.21,12.115680000000001,-14.9057,0.051965,1.5566591598537425,5.391496592335684,19.210000000000036,1.5795229730548683,5.398303376418461,5.149906501733555,1.5577525906636458
163,2817.03,19.08,12.200330000000001,-14.6641,-0.016649,1.5866788229880449,5.421167189619587,19.080000000000382,1.5566591598537425,5.391496592335684,5.243184260118251,1.5540007585731281
164,2836.16,19.13,12.40272,-14.5628,-0.11351300000000002,1.5667820695153096,5.414534938462009,19.129999999999654,1.5866788229880449,5.421167189619587,4.443870270393703,1.570796275955253
165,2855.12,18.96,12.250630000000001,-14.4685,0.21673800000000001,1.5519467708733579,5.415407603088005,18.960000000000036,1.5667820695153096,5.414534938462009,5.225072439159191,1.5516184433618723
166,2874.23,19.11,12.455110000000001,-14.4906,0.208447,1.5678292670665062,5.42937023710396,19.110000000000127,1.5519467708733579,5.415407603088005,5.268908224312872,1.5707966804328521
167,2893.32,19.09,12.58917,-14.3501,0.094957,1.5638150097869192,5.43565342241114,19.090000000000146,1.5678292670665062,5.42937023710396,5.2886841172517185,1.5627086036501785
168,2912.53,19.21,12.70773,-14.4014,0.32016,1.544441855089782,5.435129823635542,19.210000000000036,1.5638150097869192,5.43565342241114,5.286996284236163,1.5447369625313747
169,2931.47,18.94,12.5007,-14.2243,0.228061,1.573065254822489,5.4316391651315525,18.9399999999996,1.544441855089782,5.435129823635542,5.276058097674868,1.567050234690423
170,2950.42,18.95,12.533760000000001,-14.2093,-0.24307399999999998,1.5941837387716207,5.43879501506473,18.950000000000273,1.573065254822489,5.4316391651315525,5.29851601080138,1.5476664065706203
171,2969.37,18.95,12.51821,-14.2216,-0.355521,1.5849334937360506,5.4295447700291595,18.949999999999818,1.5941837387716207,5.43879501506473,5.269491757885817,1.5559996588751877
172,2988.26,18.89,12.34021,-14.2962,-0.38240999999999997,1.597150798500011,5.419421860367592,18.890000000000327,1.5849334937360506,5.4295447700291595,5.237657786247003,1.5446693425993545
173,3007.23,18.97,12.31835,-14.4153,-0.5611109999999999,1.60360851673239,5.4195963932927915,18.9699999999998,1.597150798500011,5.419421860367592,5.238224458311035,1.5378297677426822
174,3026.2,18.97,12.272839999999999,-14.4563,-0.47835900000000003,1.5884241522400393,5.4129641421352135,18.9699999999998,1.60360851673239,5.4195963932927915,5.217372921469624,1.553433496758491
175,3045.16,18.96,12.23495,-14.4807,-0.31104499999999996,1.5859806912872474,5.414884004312407,18.960000000000036,1.5884241522400393,5.4129641421352135,5.223412971994785,1.555434452810624
176,3064.11,18.95,12.23806,-14.4664,-0.22655,1.5795229730548683,5.414185872611609,18.950000000000273,1.5859806912872474,5.414884004312407,5.2212211314729275,1.562207197357205
177,3082.94,18.83,12.12984,-14.4021,-0.060798000000000005,1.568527398767304,5.410520681182422,18.829999999999927,1.5795229730548683,5.414185872611609,0.9844653476275655,1.5733172755103337
178,3101.9,18.96,12.19587,-14.5165,0.10423699999999998,1.562069680534925,5.4117424116588175,18.960000000000036,1.568527398767304,5.410520681182422,5.991958036140145,1.5625217168386913
179,3120.87,18.97,12.239,-14.4932,0.10429200000000001,1.568527398767304,5.415582136013206,18.9699999999998,1.562069680534925,5.4117424116588175,5.225602940078201,1.568123005337346
180,3139.82,18.95,12.227139999999999,-14.4766,0.137254,1.5585790220309363,5.411916944584017,18.950000000000273,1.568527398767304,5.415582136013206,5.992504563600744,1.5589705224914885
181,3158.8,18.98,12.28433,-14.4673,0.11593900000000001,1.5707963267948966,5.4208181237691875,18.980000000000018,1.5585790220309363,5.411916944584017,5.242053328908775,1.569065888010046
182,3177.74,18.94,12.375689999999999,-14.3374,0.021487,1.568527398767304,5.428148506627564,18.9399999999996,1.5707963267948966,5.4208181237691875,5.265079015103707,1.570795050211669
183,3196.68,18.94,12.37428,-14.3383,0.087599,1.5638150097869192,5.420643590843988,18.940000000000055,1.568527398767304,5.428148506627564,5.241503879680134,1.563753090345442
184,3215.64,18.96,12.26345,-14.458,-0.072797,1.5854570925116491,5.41104427995802,18.960000000000036,1.5638150097869192,5.420643590843988,2.3199319485355017,1.5561725844784047
185,3234.61,18.97,12.182210000000001,-14.5388,-0.278105,1.5854570925116491,5.408600819005228,18.970000000000255,1.5854570925116491,5.41104427995802,5.203668994422931,1.556084648090494
186,3253.58,18.97,12.1409,-14.5746,-0.17216099999999998,1.5742869852988852,5.405284693426438,18.9699999999998,1.5854570925116491,5.408600819005228,5.193247529688166,1.5690464545176985
187,3272.53,18.95,12.06215,-14.6144,-0.138908,1.5819664340076602,5.399525106894857,18.950000000000273,1.5742869852988852,5.405284693426438,5.175158493122631,1.5595215508351723
188,3291.48,18.95,11.98807,-14.6753,-0.127333,1.573065254822489,5.3951617837648715,18.949999999999818,1.5819664340076602,5.399525106894857,0.796608731419241,1.570797634346082
