tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth
4115.900000,19.220000,12.413220,-14.673500,-0.023481,90.340000,310.310000
4135.180000,19.280000,12.436140,-14.731800,-0.169929,90.670000,310.030000
4154.270000,19.090000,12.256230,-14.634900,-0.168255,90.340000,309.860000
4173.460000,19.190000,12.296420,-14.732500,-0.090430,90.200000,309.840000
4192.490000,19.030000,12.167170,-14.632000,-0.061445,90.170000,309.650000
4211.800000,19.310000,12.338410,-14.853800,0.010111,89.770000,309.780000
4231.090000,19.290000,12.324780,-14.837400,0.201997,89.030000,309.650000
4250.340000,19.250000,12.272950,-14.824900,0.393062,88.630000,309.590000
4269.560000,19.220000,12.284330,-14.778200,0.258276,89.830000,309.880000
4288.770000,19.210000,12.404960,-14.663700,-0.196117,91.340000,310.580000
4308.040000,19.270000,12.556360,-14.611000,-0.433822,91.240000,310.770000
4327.270000,19.230000,12.547440,-14.564600,-0.473184,91.580000,310.720000
4346.570000,19.300000,12.613940,-14.600500,-0.441228,91.040000,310.930000
4365.760000,19.190000,12.490910,-14.565700,-0.207646,90.200000,310.300000
4385.060000,19.300000,12.407800,-14.781800,0.074105,89.360000,309.720000
4404.320000,19.260000,12.365440,-14.765300,0.112608,89.970000,310.170000
4423.540000,19.220000,12.353770,-14.722600,0.134177,89.230000,309.830000
4442.750000,19.210000,12.184410,-14.849400,0.095550,90.200000,308.910000
4462.010000,19.260000,12.091810,-14.990900,0.023530,89.660000,308.870000
4481.060000,19.050000,11.997170,-14.796800,0.146292,89.460000,309.200000
4500.200000,19.140000,12.102700,-14.823500,0.325680,88.590000,309.260000
4519.390000,19.190000,12.079850,-14.906800,0.281316,89.730000,308.780000
4538.340000,18.950000,12.092700,-14.586400,-0.044649,90.540000,310.540000
4557.490000,19.150000,12.455520,-14.544900,-0.163771,90.440000,310.610000
4576.590000,19.100000,12.452890,-14.475300,-0.381640,91.850000,310.800000
4595.530000,18.940000,12.336520,-14.352600,-0.722098,92.520000,310.560000
4614.610000,19.080000,12.406620,-14.480200,-0.637558,91.310000,310.620000
4633.690000,19.080000,12.416340,-14.483800,-0.263058,90.270000,310.590000
4652.950000,19.260000,12.456810,-14.688600,0.016807,89.630000,310.010000
4672.040000,19.090000,12.322830,-14.579500,0.033318,90.170000,310.400000
4691.240000,19.200000,12.400380,-14.658300,-0.028484,90.000000,310.060000
4710.390000,19.150000,12.253900,-14.715400,0.078543,89.530000,309.510000
4729.630000,19.240000,12.214880,-14.862700,0.253520,88.960000,309.320000
4748.850000,19.220000,12.220450,-14.832500,0.140880,90.200000,309.650000
4768.020000,19.170000,12.214200,-14.774900,-0.011710,89.870000,309.510000
4787.010000,18.990000,12.050430,-14.675600,0.144172,89.260000,309.270000
4806.200000,19.190000,12.117890,-14.876500,0.309794,88.890000,309.060000
4825.540000,19.340000,12.232370,-14.977000,0.086065,90.600000,309.420000
4844.770000,19.230000,12.220080,-14.845200,-0.275203,91.040000,309.500000
4864.030000,19.260000,12.215990,-14.887900,-0.225211,90.300000,309.240000
4883.190000,19.160000,12.083550,-14.868800,0.000000,89.700000,308.960000
4902.170000,18.980000,11.911450,-14.775200,0.200408,89.090000,308.790000
4921.300000,19.130000,12.138380,-14.782800,0.135216,90.100000,309.990000
4940.550000,19.250000,12.386230,-14.735200,-0.107511,90.540000,310.110000
4959.800000,19.250000,12.393960,-14.728700,-0.102471,90.070000,310.050000
4978.880000,19.080000,12.236140,-14.639500,0.044956,89.660000,309.730000
4998.100000,19.220000,12.308900,-14.752700,-0.296796,92.110000,309.950000
5017.330000,19.230000,12.350150,-14.718300,-0.793524,92.620000,310.050000
5036.430000,19.100000,12.219090,-14.660600,-0.738185,91.810000,309.570000
5055.800000,19.370000,12.191220,-15.044200,-0.204483,89.400000,308.470000
5075.060000,19.260000,11.939410,-15.107100,0.376449,88.360000,308.170000
5094.170000,19.110000,11.805560,-15.021100,0.413538,89.160000,308.160000
5113.410000,19.240000,11.894830,-15.121100,0.186365,89.730000,308.220000
5132.600000,19.190000,11.844460,-15.097700,0.145692,89.400000,308.010000
5151.960000,19.360000,12.027320,-15.169300,0.038857,90.370000,308.810000
5171.130000,19.170000,12.054600,-14.904800,-0.140522,90.470000,309.120000
5190.320000,19.190000,12.156630,-14.847200,-0.169137,90.540000,309.500000
5209.540000,19.220000,12.215940,-14.837600,-0.157661,90.400000,309.430000
5228.700000,19.160000,12.203810,-14.770200,-0.038456,89.830000,309.700000
5247.670000,18.970000,12.145370,-14.572200,0.023176,90.030000,309.920000
5266.780000,19.110000,12.381310,-14.553200,-0.200106,91.170000,310.860000
5285.830000,19.050000,12.461260,-14.403400,-0.400615,91.240000,310.870000
5305.000000,19.170000,12.517020,-14.513900,-0.398121,91.140000,310.680000
5320.000000,15.000000,9.775571,-11.373200,-0.298432,91.140000,310.680000
